Agent Name, Door Name, Position-X, Position-Z, Time (Seconds)
SmartAgent3D(Clone), door 16, -52.93-X, 12.4-Z, 40.6 seconds
SmartAgent3D(Clone), door 24, -7.91-X, -8.6-Z, 40.74 seconds
SmartAgent3D(Clone), door 80, 64.05-X, 12.4-Z, 40.76 seconds
SmartAgent3D(Clone), door 23, -15.47-X, -7.04-Z, 40.84 seconds
SmartAgent3D(Clone), door 90, 25.05-X, 15.52-Z, 40.9 seconds
SmartAgent3D(Clone), door 16, -52.93-X, 12.4-Z, 40.96 seconds
SmartAgent3D(Clone), door 51, -52.93-X, 15.4-Z, 41.08 seconds
SmartAgent3D(Clone), door 47, 25.05-X, 12.52-Z, 41.16 seconds
SmartAgent3D(Clone), door 90, 25.05-X, 15.52-Z, 41.18 seconds
SmartAgent3D(Clone), door 37, 64.05-X, 12.52-Z, 41.18 seconds
SmartAgent3D(Clone), door 29, 7.05-X, -8.48-Z, 41.2 seconds
SmartAgent3D(Clone), door 80, 64.05-X, 12.4-Z, 41.2 seconds
SmartAgent3D(Clone), door 24, -7.91-X, -8.6-Z, 41.24 seconds
SmartAgent3D(Clone), door 39, 58.05-X, 12.52-Z, 41.28 seconds
SmartAgent3D(Clone), door 16, -52.93-X, 12.4-Z, 41.32 seconds
SmartAgent3D(Clone), door 23, -15.47-X, -7.04-Z, 41.32 seconds
SmartAgent3D(Clone), door 32, -7.91-X, -8.48-Z, 41.58 seconds
SmartAgent3D(Clone), door 90, 25.05-X, 15.52-Z, 41.6 seconds
SmartAgent3D(Clone), door 47, 25.05-X, 12.52-Z, 41.62 seconds
SmartAgent3D(Clone), door 16, -52.93-X, 12.4-Z, 41.68 seconds
SmartAgent3D(Clone), door 29, 7.05-X, -8.48-Z, 41.78 seconds
SmartAgent3D(Clone), door 97, -52.93-X, 15.52-Z, 41.84 seconds
SmartAgent3D(Clone), door 80, 64.05-X, 12.4-Z, 41.92 seconds
SmartAgent3D(Clone), door 22, -15.47-X, -10.04-Z, 41.94 seconds
SmartAgent3D(Clone), door 36, 64.05-X, 15.4-Z, 42.02 seconds
SmartAgent3D(Clone), door 4, 25.05-X, 12.4-Z, 42.02 seconds
SmartAgent3D(Clone), door 81, 58.05-X, 12.4-Z, 42.1 seconds
SmartAgent3D(Clone), door 46, 25.05-X, 15.4-Z, 42.28 seconds
SmartAgent3D(Clone), door 80, 64.05-X, 12.4-Z, 42.34 seconds
SmartAgent3D(Clone), door 97, -52.93-X, 15.52-Z, 42.34 seconds
SmartAgent3D(Clone), door 4, 25.05-X, 12.4-Z, 42.4 seconds
SmartAgent3D(Clone), door 28, 7.05-X, -8.6-Z, 42.44 seconds
SmartAgent3D(Clone), door 81, 58.05-X, 12.4-Z, 42.48 seconds
SmartAgent3D(Clone), door 4, 25.05-X, 12.4-Z, 42.54 seconds
SmartAgent3D(Clone), door 51, -52.93-X, 15.4-Z, 42.68 seconds
SmartAgent3D(Clone), door 80, 64.05-X, 12.4-Z, 42.72 seconds
