Object Name, Agent Name, Position-X, Position-Z, Time (Seconds)
door 25, smart agent 10, -0.38, 6.89, 14.24
module node 1, smart agent 4, 4.11, -24.99, 14.26
door 26, smart agent 10, -0.38, 6.77, 14.30
module node 2, smart agent 6, 7.11, -24.99, 14.32
module node 1, smart agent 5, 4.11, -24.99, 14.40
module node 8, smart agent 9, -9.89, -24.99, 14.96
module node 1, smart agent 6, 4.11, -24.99, 15.18
module node 9, smart agent 9, -6.89, -24.99, 15.80
module node 20, smart agent 10, -4.00, 2.33, 16.48
stair 1:F2, smart agent 3, 1.28, -17.07, 16.52
stair 1:F1, smart agent 3, 1.22, 4.24, 16.52
stair 1:F2, smart agent 3, 1.28, -17.07, 16.52
stair 1:F1, smart agent 3, 1.22, 4.24, 16.52
room node 1, smart agent 8, 0.05, -19.06, 16.98
door 26, smart agent 3, -0.38, 6.77, 17.26
module node 22, smart agent 10, -7.00, 2.33, 17.34
stair 1:F2, smart agent 5, 1.28, -17.07, 17.34
stair 1:F1, smart agent 5, 1.22, 4.24, 17.34
stair 1:F2, smart agent 5, 1.28, -17.07, 17.34
stair 1:F1, smart agent 5, 1.22, 4.24, 17.34
stair 1:F2, smart agent 4, 1.28, -17.07, 17.60
stair 1:F1, smart agent 4, 1.22, 4.24, 17.60
stair 1:F2, smart agent 4, 1.28, -17.07, 17.60
stair 1:F1, smart agent 4, 1.22, 4.24, 17.60
stair 1:F2, smart agent 8, 1.28, -17.07, 17.70
stair 1:F1, smart agent 8, 1.22, 4.24, 17.70
stair 1:F2, smart agent 6, 1.28, -17.07, 18.18
stair 1:F1, smart agent 6, 1.22, 4.24, 18.18
door 25, smart agent 3, -0.38, 6.89, 18.18
stair 1:F2, smart agent 6, 1.28, -17.07, 18.18
stair 1:F1, smart agent 6, 1.22, 4.24, 18.18
module node 21, smart agent 10, -10.00, 2.33, 18.24
door 26, smart agent 5, -0.38, 6.77, 18.34
door 26, smart agent 4, -0.38, 6.77, 18.56
door 26, smart agent 8, -0.38, 6.77, 18.78
door 25, smart agent 3, -0.38, 6.89, 18.80
door 26, smart agent 3, -0.38, 6.77, 18.82
door 25, smart agent 8, -0.38, 6.89, 19.34
door 25, smart agent 4, -0.38, 6.89, 19.40
door 26, smart agent 6, -0.38, 6.77, 19.50
door 25, smart agent 6, -0.38, 6.89, 19.52
door 25, smart agent 5, -0.38, 6.89, 19.68
door 26, smart agent 5, -0.38, 6.77, 19.70
stair 1:F2, smart agent 9, 1.28, -17.07, 19.76
stair 1:F1, smart agent 9, 1.22, 4.24, 19.76
stair 1:F2, smart agent 9, 1.28, -17.07, 19.76
stair 1:F1, smart agent 9, 1.22, 4.24, 19.76
door 25, smart agent 4, -0.38, 6.89, 19.96
door 25, smart agent 4, -0.38, 6.89, 20.12
door 26, smart agent 4, -0.38, 6.77, 20.18
door 25, smart agent 8, -0.38, 6.89, 20.38
door 25, smart agent 6, -0.38, 6.89, 20.94
module node 20, smart agent 3, -4.00, 2.33, 21.10
module node 26, smart agent 5, -0.02, 2.43, 21.20
door 26, smart agent 9, -0.38, 6.77, 21.24
exit 4, smart agent 10, -20.44, 3.20, 21.24
door 25, smart agent 9, -0.38, 6.89, 21.78
module node 22, smart agent 3, -7.00, 2.33, 21.96
door 25, smart agent 9, -0.38, 6.89, 22.18
module node 20, smart agent 4, -4.00, 2.33, 22.28
module node 20, smart agent 5, -4.00, 2.33, 22.42
