Object Name, Agent Name, Position-X, Position-Z, Time (Seconds)
exit 4, smart agent 27, 28.47, -1.76, 7.56
exit 11, smart agent 4, 15.27, -1.76, 7.60
module node 2, smart agent 7, -46.00, -2.00, 7.74
module node 20, smart agent 34, 9.40, 24.00, 7.76
door 49, smart agent 26, 60.17, 4.01, 7.76
door 117, smart agent 26, 60.17, 3.89, 7.82
door 123, smart agent 30, 3.55, 13.96, 7.88
exit 1, smart agent 14, -60.26, 6.79, 8.08
intersection node 5, smart agent 6, 3.00, 2.00, 8.12
exit 11, smart agent 40, 15.27, -1.76, 8.12
door 38, smart agent 45, 56.41, -15.32, 8.50
door 73, smart agent 45, 56.53, -15.32, 8.56
module node 31, smart agent 17, -58.00, 18.00, 8.60
door 37, smart agent 48, 54.15, -27.07, 8.60
door 44, smart agent 41, 72.77, -35.82, 8.62
door 83, smart agent 48, 54.15, -27.19, 8.64
door 78, smart agent 41, 72.77, -35.94, 8.66
door 123, smart agent 33, 3.55, 13.96, 8.92
module node 18, smart agent 35, -4.40, 24.00, 8.92
door 48, smart agent 51, 71.53, -23.57, 8.96
door 35, smart agent 51, 71.53, -23.58, 8.96
intersection node 5, smart agent 39, 3.00, 2.00, 9.04
exit 1, smart agent 9, -60.26, 6.79, 9.08
door 10, smart agent 22, -3.03, 49.50, 9.10
door 57, smart agent 33, 3.67, 13.96, 9.12
door 7, smart agent 22, -3.15, 49.50, 9.14
door 57, smart agent 33, 3.67, 13.96, 9.14
door 38, smart agent 45, 56.41, -15.32, 9.16
door 48, smart agent 46, 71.53, -23.57, 9.16
door 35, smart agent 46, 71.53, -23.58, 9.16
door 10, smart agent 21, -3.03, 49.50, 9.28
door 7, smart agent 21, -3.15, 49.50, 9.34
door 48, smart agent 46, 71.53, -23.57, 9.38
door 78, smart agent 41, 72.77, -35.94, 9.40
module node 1, smart agent 7, -52.00, -2.00, 9.44
door 44, smart agent 41, 72.77, -35.82, 9.46
door 6, smart agent 18, -4.62, 26.82, 9.56
door 123, smart agent 32, 3.55, 13.96, 9.60
door 18, smart agent 18, -4.62, 26.70, 9.62
door 49, smart agent 29, 60.17, 4.01, 9.64
exit 11, smart agent 5, 15.27, -1.76, 9.70
